date,value
2018-01-02,383.2426
2018-01-03,383.3168
2018-01-04,383.39099999999996
2018-01-05,383.4652
2018-01-08,383.6878
2018-01-09,383.7621
2018-01-10,383.8364
2018-01-11,383.9106
2018-01-12,383.9849
2018-01-15,384.2079
2018-01-16,384.2822
2018-01-17,384.3565
2018-01-18,384.4309
2018-01-19,384.5053
2018-01-22,384.7285
2018-01-23,384.8029
2018-01-24,384.8774
2018-01-25,384.9518
2018-01-26,385.0263
2018-01-29,385.2499
2018-01-30,385.3245
2018-01-31,385.399
2018-02-01,385.4736
2018-02-02,385.5482
2018-02-05,385.7722
2018-02-06,385.8468
2018-02-06,385.8468
2018-02-07,385.9215
2018-02-08,385.9962
2018-02-09,386.07099999999997
2018-02-12,386.2953
2018-02-13,386.3701
2018-02-14,386.4449
2018-02-15,386.5197
2018-02-16,386.5946
2018-02-19,386.8193
2018-02-20,386.8942
2018-02-21,386.9692
2018-02-22,387.0441
2018-02-23,387.1191
2018-02-26,387.3441
2018-02-27,387.4192
2018-02-28,387.4943
2018-03-01,387.5693
2018-03-01,387.5693
2018-03-02,387.6444
2018-03-05,387.8698
2018-03-06,387.9449
2018-03-07,388.0201
2018-03-08,388.0952
2018-03-09,388.1704
2018-03-12,388.3961
2018-03-13,388.4713
2018-03-14,388.5466
2018-03-15,388.6219
2018-03-16,388.6972
2018-03-19,388.9232
2018-03-20,388.9985
2018-03-22,389.1493
2018-03-23,389.2247
2018-03-26,389.45099999999996
2018-03-27,389.5265
2018-03-28,389.602
2018-03-29,389.6775
2018-03-29,389.6775
2018-04-03,390.0549
2018-04-04,390.1303
2018-04-05,390.2058
2018-04-06,390.2813
2018-04-09,390.5075
2018-04-10,390.5829
2018-04-11,390.6583
2018-04-12,390.7337
2018-04-13,390.8091
2018-04-16,391.0351
2018-04-17,391.1105
2018-04-18,391.1858
2018-04-19,391.2611
2018-04-20,391.3364
2018-04-23,391.5622
2018-04-24,391.6375
2018-04-25,391.7127
2018-04-26,391.788
2018-04-30,392.0888
2018-04-30,392.0888
2018-05-02,392.2391
2018-05-03,392.3143
2018-05-04,392.3895
2018-05-07,392.6149
2018-05-08,392.6901
2018-05-09,392.7652
2018-05-10,392.8404
2018-05-11,392.9155
2018-05-14,393.14099999999996
2018-05-15,393.2162
2018-05-16,393.2914
2018-05-17,393.3665
2018-05-18,393.4417
2018-05-21,393.6671
2018-05-22,393.7423
2018-05-23,393.8174
2018-05-24,393.8926
2018-05-25,393.9677
2018-05-28,394.1932
2018-05-29,394.2683
2018-05-30,394.3435
2018-05-31,394.4186
2018-06-01,394.4938
2018-06-04,394.7192
2018-06-05,394.7943
2018-06-06,394.8694
2018-06-07,394.9446
2018-06-08,395.0197
2018-06-11,395.2451
2018-06-11,395.2451
2018-06-12,395.3202
2018-06-13,395.3954
2018-06-14,395.4705
2018-06-15,395.5456
2018-06-18,395.77099999999996
2018-06-19,395.8462
2018-06-20,395.9213
2018-06-21,395.9965
2018-06-22,396.0716
2018-06-25,396.2971
2018-06-25,396.2971
2018-06-26,396.3722
2018-06-27,396.4474
2018-06-28,396.5226
2018-06-29,396.5977
